,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,instant_bookable
0,4539,within a day,40,100,1,cabin,Private room,2,2,59,3,1125,139,278,Not Available
1,4105,within a day,40,100,2,tent,Private room,2,1,129,1,365,0,339,Available
2,4117,within a day,40,0,2,cottage,Entire home/apt,3,1,125,14,180,251,5,Available
3,3994,within an hour,100,100,1,tent,Private room,2,1,125,2,730,136,219,Available
4,3943,within an hour,100,87,2,cottage,Private room,2,1,75,2,1825,338,336,Not Available
5,3943,within an hour,100,87,2,cabin,Private room,1,1,55,2,730,355,480,Available
6,3929,within a day,40,0,1,bunglow,Entire home/apt,4,3,219,3,365,0,32,Available
7,3872,within a day,40,50,1,chalet,Entire home/apt,3,1,160,4,35,0,89,Available
8,3863,within a day,40,0,0,bunglow,Entire home/apt,4,4,211,3,30,362,59,Not Available
9,3863,within an hour,100,25,4,condo,Entire home/apt,2,1,115,4,1125,117,179,Not Available
10,3844,within a day,40,68,1,cottage,Entire home/apt,2,1,150,3,1825,0,3,Not Available
11,3827,within an hour,100,93,1,cottage,Entire home/apt,3,2,136,2,1124,244,368,Available
12,3826,within a day,40,0,0,studio apartment,Entire home/apt,4,2,250,3,365,365,103,Available
13,3821,within a day,50,0,1,studio apartment,Entire home/apt,6,3,115,4,15,135,17,Available
14,3821,within a day,40,100,1,chalet,Private room,2,1,118,2,365,343,307,Not Available
15,3865,within a day,40,68,1,cottage,Private room,2,1,75,2,20,0,102,Available
16,3806,within a day,40,100,1,studio apartment,Private room,2,0,40,7,150,0,354,Not Available
17,3805,within a day,40,100,1,studio apartment,Private room,2,1,75,3,14,5,309,Available
18,3790,within a day,40,68,1,cottage,Private room,2,1,90,1,365,0,179,Available
19,3788,within a day,40,100,1,villa,Entire home/apt,4,2,222,3,24,0,32,Not Available
20,3786,within a day,40,68,1,cottage,Private room,2,1,65,2,7,315,157,Available
21,3786,within a day,40,33,1,bunglow,Entire home/apt,4,2,149,4,21,0,95,Not Available
22,3780,within a day,70,55,3,cottage,Entire home/apt,2,2,155,1,681,179,0,Not Available
